[2021-06-09T20:47:35.375] [INFO] default - |-----------------|
[2021-06-09T20:47:35.378] [INFO] default - |ExtraServer START|
[2021-06-09T20:47:35.379] [INFO] default - |-----------------|
[2021-06-09T20:47:35.379] [INFO] default - creating server...
[2021-06-09T20:47:35.380] [INFO] default - Loading plugins...
[2021-06-09T20:47:35.384] [ERROR] default - Cloud not load plugin asdasd.json: TypeError: require(...).onStart is not a function
[2021-06-09T20:47:35.585] [ERROR] default - Cloud not load plugin chat.js: TypeError [ERR_INVALID_ARG_TYPE]: The "emitter" argument must be an instance of EventEmitter. Received type string ('connection')
[2021-06-09T20:47:35.593] [INFO] defaultRequestHandler.js - DefaultRequestHandler was made by BomberPlayz.
[2021-06-09T20:47:35.594] [INFO] default - Loaded plugin defaultRequestHandler.js
[2021-06-09T20:47:35.598] [ERROR] default - Cloud not load plugin directoryList.js: TypeError: require(...).onStart is not a function
[2021-06-09T20:47:35.612] [INFO] logDebug.js - logDebug plugin by BomberPlayz!
[2021-06-09T20:47:35.613] [INFO] default - Loaded plugin logDebug.js
[2021-06-09T20:47:35.616] [ERROR] default - Cloud not load plugin tuccc.json: SyntaxError: D:\OneDrive\Desktop\progs\ExtraServer\server_plugins\tuccc.json: Unexpected number in JSON at position 57948
[2021-06-09T20:47:35.619] [INFO] _compatibleMode.js - CopatibleMode plugin was made by BomberPLayz
[2021-06-09T20:47:35.620] [INFO] default - Loaded plugin _compatibleMode.js
[2021-06-09T20:47:35.620] [INFO] default - Starting to listen...
[2021-06-09T20:47:35.624] [INFO] default - Server started!
[2021-06-09T20:47:35.627] [INFO] default - tictuc! elindult!
[2021-06-09T20:48:06.480] [INFO] defaultRequestHandler.js - ::1 requested to /dos.jsx?ip=http%3A%2F%2Fwin.crackpixel.hu%3A1028%2Fpapi%3Fusr%3Dasd%26token%3D7562%26mode%3DcreateServer%26data%3DPower%26name%3Dasdasd%26hi%3DHI4352%26plan%3DFree&req=1000
[2021-06-09T20:48:06.517] [DEBUG] logDebug.js - http://win.crackpixel.hu:1028/papi?usr=asd&token=7562&mode=createServer&data=Power&name=asdasd&hi=HI4352&plan=Free
[2021-06-09T20:48:07.155] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.449] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.450] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.500] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.596] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.597] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.778] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.782] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.794] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.901] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:07.944] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
[2021-06-09T20:48:08.147] [DEBUG] logDebug.js - DONE 1 REQ got data: err_this_server_already_exists
