[2021-06-09T15:50:50.916] [INFO] default - |-----------------|
[2021-06-09T15:50:50.921] [INFO] default - |ExtraServer START|
[2021-06-09T15:50:50.925] [INFO] default - |-----------------|
[2021-06-09T15:50:50.927] [INFO] default - creating server...
[2021-06-09T15:50:50.935] [INFO] default - Loading plugins...
[2021-06-09T15:50:50.939] [ERROR] default - Cloud not load plugin asdasd.json: TypeError: require(...).onStart is not a function
[2021-06-09T15:50:51.141] [ERROR] default - Cloud not load plugin chat.js: TypeError [ERR_INVALID_ARG_TYPE]: The "emitter" argument must be an instance of EventEmitter. Received type string ('connection')
[2021-06-09T15:50:51.143] [INFO] defaultRequestHandler.js - DefaultRequestHandler was made by BomberPlayz.
[2021-06-09T15:50:51.143] [INFO] default - Loaded plugin defaultRequestHandler.js
[2021-06-09T15:50:51.148] [ERROR] default - Cloud not load plugin directoryList.js: TypeError: require(...).onStart is not a function
[2021-06-09T15:50:51.150] [INFO] logDebug.js - logDebug plugin by BomberPlayz!
[2021-06-09T15:50:51.150] [INFO] default - Loaded plugin logDebug.js
[2021-06-09T15:50:51.153] [ERROR] default - Cloud not load plugin tuccc.json: SyntaxError: D:\OneDrive\Desktop\progs\ExtraServer\server_plugins\tuccc.json: Unexpected number in JSON at position 57948
[2021-06-09T15:50:51.155] [INFO] _compatibleMode.js - CopatibleMode plugin was made by BomberPLayz
[2021-06-09T15:50:51.156] [INFO] default - Loaded plugin _compatibleMode.js
[2021-06-09T15:50:51.156] [INFO] default - Starting to listen...
[2021-06-09T15:50:51.159] [INFO] default - Server started!
[2021-06-09T15:50:51.159] [INFO] default - tictuc! elindult!
[2021-06-09T15:51:04.567] [INFO] defaultRequestHandler.js - ::1 requested to /tafonya.jsx?user=afonya&start=2000&end=4000
[2021-06-09T15:51:04.769] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:04.872] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:04.967] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.079] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.288] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.385] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.492] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.731] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.843] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:05.926] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.122] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.218] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.304] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.399] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.489] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.579] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.665] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.802] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.883] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:06.960] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:07.052] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:07.620] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:07.950] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.049] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.171] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.277] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.420] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.503] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.586] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.671] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.773] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.860] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:08.980] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:09.063] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:09.144] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:09.254] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
[2021-06-09T15:51:09.588] [DEBUG] logDebug.js - kapotot: err_user_not_exists_or_token_not_match
